CommentID,userID,shopID,shopDistrID,tasteScore,enviScore,serviceScore,hygieneScore,moneyScore
103706,18126,13865,2026,4,4,4,4,3
100616,18126,10117,2008,4,3,5,4,3
50986,18126,3570,2010,4,3,3,4,5
2089739,18126,1884,2026,4,3,4,3,4
2086264,18126,9992,1019,4,4,3,4,3
2081407,18126,41464,2026,4,3,4,3,4
71018,18132,212,2020,5,5,5,5,5
1935548,18132,5136,1019,5,4,5,5,3
2020094,18132,6319,2026,4,5,5,5,5
1962372,18132,9943,2008,5,3,4,4,5
1935521,18132,10224,2026,5,3,4,4,5
1934857,18132,13861,2026,4,5,5,5,5
1925628,18132,20046,1019,5,4,4,5,3
1919254,18132,6319,2026,4,5,5,5,5
141958,18132,9046,2010,4,5,5,5,5
1929459,18132,21467,1019,4,5,4,5,5
1908972,18132,15435,2026,4,5,4,5,5
1876050,18132,16732,2008,4,5,5,5,4
166283,18132,959,2030,5,3,4,5,3
103864,18132,13827,2026,4,5,5,5,4
83229,18132,3041,2010,5,4,3,4,4
32936,18132,9941,2030,4,5,5,5,4
29757,18132,1562,2001,4,5,4,5,5
1949500,18132,19970,1019,4,5,4,5,4
1944978,18132,12492,2001,4,5,4,4,5
1943780,18132,15498,2030,4,5,5,5,3
1940165,18132,2645,1019,4,4,4,5,5
1917221,18132,21030,1019,4,5,4,5,4
1907943,18132,15498,2030,4,5,5,5,3
29196,18138,341,2008,5,5,5,5,4
29230,18138,29230,341,5,5,5,5,3
94882,18138,15114,1019,4,4,5,5,4
29183,18138,10386,2008,4,5,3,5,4
1983972,18138,5965,2025,4,3,5,4,4
29440,18138,6793,3007,4,4,3,5,4
94883,18138,13970,1019,4,3,4,4,4
29181,18138,1722,1001,4,4,3,3,2
2101979,18138,41467,1022,3,4,4,4,3
29444,18138,10563,2010,2,5,4,5,3
29182,18138,9693,2008,3,3,3,5,2
2199616,18140,60235,2027,4,4,4,4,4
29953,18140,9942,2005,4,4,5,4,3
2187708,18140,50515,2001,4,4,4,4,3
2187499,18140,46924,2026,4,4,4,4,3
2166026,18140,37965,3015,4,3,5,4,3
43632,18140,22858,2030,4,4,4,4,3
39379,18140,11321,2008,4,3,4,4,4
32466,18140,7723,2010,4,3,4,4,4
29156,18140,6592,2027,4,3,4,4,4
2189965,18140,51514,2001,4,4,3,4,3
43538,18140,4014,2020,4,3,4,3,4
30121,18140,11255,2003,4,4,3,4,3
2204082,18140,65828,2005,4,3,3,3,4
2203635,18140,57421,2008,4,3,3,3,4
2188123,18140,42546,2005,4,3,4,3,3
2195784,18140,50093,2010,4,3,3,3,3
2191246,18140,3060,1011,4,3,3,3,3
29532,18140,2280,2027,3,4,4,4,3
140754,18140,17066,2020,3,3,4,4,3
30063,18140,972,2010,3,4,4,4,2
29277,18140,1424,2002,3,4,3,4,3
2208204,18140,60991,2005,3,3,4,3,3
2201702,18140,56798,2022,3,3,4,3,3
2199741,18140,47192,2010,3,3,3,3,4
2192696,18140,45627,2005,3,3,4,3,3
2186534,18140,49820,2022,3,3,4,3,3
2208547,18140,16472,1019,3,3,3,3,3
2204264,18140,62370,2022,3,3,3,3,3
2194143,18140,3816,2022,3,3,3,3,3
29817,18183,29817,162,5,5,5,5,5
30413,18183,7687,1019,5,4,5,5,5
2103476,18183,47495,2008,5,5,4,4,4
42377,18183,11577,2015,5,4,5,4,4
30460,18183,468,2013,5,3,3,5,5
2175667,18183,1799,2008,4,5,5,5,4
