CommentID,userID,shopID,shopDistrID,tasteScore,enviScore,serviceScore,hygieneScore,moneyScore
22320,16576,1548,2029,2,1,3,2,3
22323,16576,9780,2011,2,2,1,3,2
22374,16595,10126,3020,5,5,4,5,3
77346,16595,4155,2001,4,3,4,4,4
153295,16595,15903,2010,4,4,3,3,4
105805,16595,13954,3012,4,3,3,3,5
75592,16595,5966,2008,4,3,3,5,3
75594,16595,12982,2010,4,4,4,4,2
67676,16595,10154,2001,4,3,3,3,5
54990,16595,13326,2006,4,2,4,3,5
52021,16595,10563,2010,4,4,3,4,3
158411,16595,14690,2026,4,3,4,3,3
103949,16595,8662,3003,4,3,4,3,3
76256,16595,11004,2008,4,4,4,3,2
153318,16595,17546,2010,4,3,4,3,2
103945,16595,8044,2001,4,2,3,2,5
82067,16595,10077,2008,3,4,4,4,4
54992,16595,677,2008,4,4,4,3,1
103964,16595,261,2001,4,3,3,3,2
103961,16595,11231,2008,3,4,4,4,2
97637,16597,3459,1022,5,5,5,5,5
25035,16597,10196,3018,5,5,5,5,5
101194,16597,12184,2008,5,5,5,5,4
53106,16597,3599,2008,5,4,5,4,4
22436,16597,9846,1019,5,4,5,5,3
167689,16597,9869,2008,5,3,4,4,5
53190,16597,5301,2008,5,4,4,4,3
97636,16597,10287,3007,4,4,4,4,5
22405,16597,596,3005,4,4,4,5,4
168016,16597,3023,1001,5,3,3,3,3
56415,16597,9809,1022,4,4,5,4,3
39085,16597,244,2008,4,4,3,5,4
34666,16597,8745,3003,4,4,5,4,3
22430,16597,10585,3005,4,4,5,4,3
22410,16597,3897,3005,4,4,3,4,4
22403,16597,2790,2030,4,4,4,4,3
24241,16597,8774,3003,4,4,3,4,3
23414,16597,8288,1019,4,4,4,4,2
22408,16597,3189,3005,4,3,3,4,4
34430,16597,10735,2010,4,3,3,4,3
22451,16597,3702,3018,4,3,4,4,2
22407,16597,158,3005,4,4,3,4,2
22383,16597,6274,3005,4,3,4,4,2
55556,16597,12477,2008,4,3,3,3,3
25513,16597,25513,8774,4,4,2,4,2
22416,16597,8476,3005,4,3,2,3,4
22399,16597,7766,3005,4,3,2,4,3
31751,16599,31751,11439,5,5,5,5,5
31745,16599,11439,1003,5,5,5,5,5
31319,16599,31319,3756,5,5,5,5,5
30838,16599,3756,2008,5,5,5,5,5
30586,16599,30586,1846,5,5,5,5,5
30585,16599,4106,2010,5,5,5,5,5
30604,16599,3919,2010,5,5,5,5,5
30202,16599,9734,1019,5,5,5,5,5
30030,16599,30030,63,5,5,5,5,5
29495,16599,63,1017,5,5,5,5,5
29287,16599,29287,10877,5,5,5,5,5
29285,16599,29285,9670,5,5,5,5,5
29161,16599,29161,4041,5,5,5,5,5
29164,16599,3155,1019,5,5,5,5,5
29160,16599,10877,1003,5,5,5,5,5
29110,16599,2991,3007,5,5,5,5,5
29105,16599,29105,9670,5,5,5,5,5
28533,16599,6451,3007,5,5,5,5,5
28534,16599,9670,2005,5,5,5,5,5
28265,16599,6531,3018,5,5,5,5,5
28157,16599,4041,2030,5,5,5,5,5
27487,16599,27487,557,5,5,5,5,5
26522,16599,10520,2003,5,5,5,5,5
23855,16599,23855,10386,5,5,5,5,5
39667,16672,10838,2008,5,3,4,4,5
23779,16672,10344,2008,5,4,4,4,4
