shopID,price,districtID,dishID,numLike,numOK,numDislike,tasteAvg,environmentAvg,serviceAvg,shopInfo,moneyAvg,scoreWhole
228,15to$30,1002, 1032,150,29,37,3.64,4.34,3.38,4.07,2.99,3.63
9309,10to$15,2016, 1009 1036,22,10,10,3.29,3.46,3.31,3.44,2.65,3.19
1507,30to$50,1011, 1032,237,59,50,3.98,3.92,4.05,4.27,3.3,3.9
9887,Below40,2019,,97,22,26,3.5,2.69,3.18,3.18,4.1,3.36
690,41to100,2008, 1009 1036,22,9,8,3.54,3.38,3.36,3.62,3.05,3.42
7434,41to100,2002, 1022,468,115,38,3.75,3.59,3.53,3.81,3.45,3.64
468,Below40,2013, 1014,411,75,58,3.91,3.13,3.31,3.44,4.02,3.66
3419,10to$15,2008,,72,25,56,3.12,3.82,3.08,3.42,2.68,3.15
90,Below40,2028, 1014,1314,352,231,4.03,2.78,2.92,3.13,3.42,3.51
61,10to$15,2002,,347,120,133,3.48,3.92,3.27,3.83,3.09,3.47
2366,Below40,3006, 1014,204,59,70,3.49,3.26,3.23,3.44,2.85,3.31
10605,10to$15,3020, 1009 1036,24,16,11,3.29,3.63,3.2,3.51,3.04,3.32
1548,41to100,2029,,99,46,88,2.93,2.31,2.77,2.56,3.32,2.8
9780,10to$15,2011, 1010 1032 1034,49,34,197,2.05,2.41,1.99,2.35,2.11,2.1
10126,15to$30,3020, 1022,45,14,11,3.56,3.85,3.29,3.56,3.31,3.5
4155,41to100,2001, 1005 1034,114,36,13,3.7,3.26,3.53,3.49,3.68,3.56
15903,Below40,2010, 1005 1010,61,37,10,3.35,3.75,3.64,3.51,3.54,3.45
13954,Below40,3012, 1014,40,22,18,3.33,2.77,2.91,2.91,3.35,3.12
5966,15to$30,2008, 1022,153,59,86,3.22,3.77,3.23,3.55,2.99,3.27
12982,41to100,2010,,22,7,12,3.07,3.34,3.51,3.54,2.95,3.15
10154,41to100,2001, 1010 1033,143,67,50,3.42,2.72,2.97,2.94,3.27,3.16
13326,Below40,2006,,18,4,4,3.67,2.65,3.15,2.65,3.88,3.37
10563,41to100,2010,,35,17,53,2.68,3.38,2.5,3.17,2.45,2.74
14690,15to$30,2026, 1032,106,35,25,3.66,2.95,3.5,3.28,3.36,3.43
8662,41to100,3003,,1,1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11004,30to$50,2008, 1008 1009 1017 1003,29,2,10,3.57,3.87,3.46,3.78,2.95,3.5
17546,Below40,2010, 1035,136,76,21,3.64,3.31,3.56,3.56,2.99,3.46
8044,41to100,2001, 1009,82,38,22,3.64,2.46,3.01,2.67,3.56,3.24
10077,41to100,2008, 1041,176,83,82,3.47,3.34,3.08,3.48,3.05,3.31
677,15to$30,2008, 1036,23,8,2,4.06,3.92,3.85,4.12,3.18,3.91
261,41to100,2001, 1009,168,67,49,3.51,2.94,3.0,3.07,3.05,3.24
11231,41to100,2008,,22,14,8,3.35,3.67,3.23,3.77,3.17,3.36
3459,41to100,1022, 1010,43,24,50,3.09,2.79,2.62,2.74,2.73,2.87
10196,10to$15,3018, 1036 1041,25,14,9,3.32,3.63,3.29,3.54,2.9,3.32
12184,10to$15,2008, 1034,121,54,57,3.54,3.35,3.06,3.28,3.12,3.33
3599,30to$50,2008, 1032,68,27,18,3.57,3.82,3.88,4.12,3.15,3.62
9846,10to$15,1019, 1034,113,50,35,3.41,3.81,3.44,3.7,3.15,3.43
9869,15to$30,2008, 1032,238,75,46,3.57,3.47,3.47,3.78,3.22,3.49
5301,41to100,2008, 1005,106,49,30,3.57,3.39,3.61,3.65,2.86,3.44
10287,41to100,3007,,45,29,53,2.8,3.08,3.1,3.28,2.64,2.88
596,41to100,3005,,13,3,3,3.42,3.95,3.63,3.71,3.18,3.48
